video_id,title,category,category_name,duration_seconds,duration_minutes,views,likes,comments,published_at,like_view_ratio,comment_view_ratio,engagement_rate
s2Jip-k2WM4,New Market Durga Pujo Collection starts @ ₹30 😍,26,How-to & Style,1396,23.266666666666666,227995,3855,154,2025-08-21T11:35:52Z,0.016908265532138863,0.0006754534090659882,0.017583718941204852
uJ3HEnMpJdM,"인간 핀터레스트가 되.. 𓈒𓏸 𓂂𓈒𖤐 초겨울 LOOKBOOK⛄️ (겨울 하객룩, 아우터 추천/할인코드✨)",26,How-to & Style,1288,21.466666666666665,120907,2624,229,2024-11-05T11:30:35Z,0.02170263094775323,0.0018940177160958424,0.023596648663849074
-p1bWidNgSk,"6月のリアルなアラフォー1週間コーデ記録【7days,7looks】",26,How-to & Style,2092,34.86666666666667,128792,1673,95,2025-06-23T11:30:01Z,0.01298993726318405,0.0007376234548729735,0.013727560718057022
65w0-cxiCEQ,秋の毎日コーデ記録3週間21日分🎥リアルな40代大人カジュアル【アラフォー】,26,How-to & Style,2683,44.71666666666667,294507,3849,163,2025-10-16T11:30:07Z,0.013069298862166264,0.0005534673199618346,0.013622766182128099
LmaPm5_pckU,Megastructures: Building Wonders of Modern Mankind | FD Engineering,28,Science & Technology,9262,154.36666666666667,2342467,8110,239,2024-04-07T13:00:47Z,0.0034621619002530237,0.00010202918546984866,0.0035641910857228724
_OmpRDWRT9U,World's Deadliest Computer Virus: WannaCry,28,Science & Technology,1637,27.283333333333335,2802958,72579,1759,2025-10-08T17:00:53Z,0.02589371656657003,0.000627551322567088,0.02652126788913712
6I6D3TT5Vmk,Caterpillar Manufacturing: Inside the Factories Building Behemoths | FD Engineering,28,Science & Technology,3038,50.63333333333333,4578045,29610,1175,2024-12-06T14:00:46Z,0.0064678263319823195,0.0002566597750786635,0.006724486107060983
t-8TDOFqkQA,Exposing The Dark Side of America's AI Data Center Explosion | View From Above | Business Insider,28,Science & Technology,1870,31.166666666666668,3585563,52765,6130,2025-09-12T15:16:20Z,0.014715959529925984,0.001709633884553137,0.01642559341447912
s4ET7Vn3nz4,20 Coolest Tech at CES 2025,28,Science & Technology,1886,31.433333333333334,2527797,25633,1831,2025-01-13T17:01:03Z,0.010140450360531324,0.0007243461401370443,0.010864796500668369
w4FCkbPykdQ,How The Space Shuttle Worked | Full Documentary,28,Science & Technology,4670,77.83333333333333,3545335,38869,1668,2024-12-14T16:56:01Z,0.010963420946116516,0.00047047740199445185,0.011433898348110969
lmnVP35uZFY,Japan's Lost Decade - An Economic Disaster [Documentary],28,Science & Technology,1641,27.35,2709387,64581,5233,2024-05-13T15:08:53Z,0.02383601899617884,0.0019314331987272397,0.02576745219490608
id4YRO7G0wE,The AI Revolution Is Underhyped | Eric Schmidt | TED,28,Science & Technology,1538,25.633333333333333,2134509,35868,4118,2025-05-15T15:13:46Z,0.01680386449530079,0.0019292493027670533,0.018733113798067847
Oa0ZHfcalCM,"What do tech pioneers think about the AI revolution? - The Engineers, BBC World Service",28,Science & Technology,1548,25.8,2110996,34883,1091,2024-08-10T11:00:31Z,0.016524427331932413,0.0005168176538468097,0.017041244985779226
rN5f72lhJz8,ENGINEERING EARTH:  Sci-fi Solutions to Earth's Problems | 4K Documentary,28,Science & Technology,2403,40.05,2804839,89744,5395,2025-06-03T16:32:06Z,0.03199613239833017,0.0019234615605387688,0.03391959395886894
g9ch8yHthP4,China Has Launched New Generation Transport SHOCKING The US,28,Science & Technology,2073,34.55,19792229,80706,7723,2024-12-30T22:00:24Z,0.004077660985025992,0.0003902036501295534,0.0044678646351555456
38XMIMrIg_g,Apple - The House that Tim Cook Built (Full Documentary),28,Science & Technology,1891,31.516666666666666,2184995,84610,3991,2024-01-03T23:15:22Z,0.03872320073958979,0.001826548802171172,0.040549749541760965
dww8Hekngmg,LIFE BEYOND: Visions of Alien Life. Full Documentary Remastered (4K),28,Science & Technology,6484,108.06666666666666,5671859,92612,5394,2024-04-17T16:16:54Z,0.016328332562568992,0.0009510109472044351,0.017279343509773427
JilVKu1qBBE,Nothing Phone (3a) In-Depth Review After 30 Days ⚡ Mixed Feelings!,28,Science & Technology,1430,23.833333333333332,1380294,28694,1643,2025-04-09T08:06:44Z,0.020788324806164483,0.0011903261189282863,0.02197865092509277
-Pbj4D9UOf0,OnePlus 13 in-Depth Review in Telugu,28,Science & Technology,1362,22.7,532291,22317,1216,2025-01-07T17:23:53Z,0.04192631474137267,0.0022844647006994294,0.0442107794420721
dhdMPObAii8,The TRUTH about the Meta Quest 3S! (The Most In-Depth Review),28,Science & Technology,1435,23.916666666666668,538461,9398,631,2024-12-25T16:01:00Z,0.017453446024874596,0.0011718583147154575,0.018625304339590053
GgOjugCn7BM,Lenovo Idea Tab Pro In-Depth Review – How Good Is This Mid-Range Tablet?,28,Science & Technology,1325,22.083333333333332,185407,2036,426,2025-01-20T14:15:00Z,0.01098124666274736,0.002297647877372483,0.013278894540119844
